step,return,config
4188,15.0,PPO-MLP / CartPole-Masked (POMDP)
4192,10.0,PPO-MLP / CartPole-Masked (POMDP)
4212,9.0,PPO-MLP / CartPole-Masked (POMDP)
4240,25.0,PPO-MLP / CartPole-Masked (POMDP)
4308,29.0,PPO-MLP / CartPole-Masked (POMDP)
4344,25.0,PPO-MLP / CartPole-Masked (POMDP)
4360,12.0,PPO-MLP / CartPole-Masked (POMDP)
4404,52.0,PPO-MLP / CartPole-Masked (POMDP)
4408,15.0,PPO-MLP / CartPole-Masked (POMDP)
4412,49.0,PPO-MLP / CartPole-Masked (POMDP)
4488,19.0,PPO-MLP / CartPole-Masked (POMDP)
4500,21.0,PPO-MLP / CartPole-Masked (POMDP)
4556,13.0,PPO-MLP / CartPole-Masked (POMDP)
4636,19.0,PPO-MLP / CartPole-Masked (POMDP)
4648,71.0,PPO-MLP / CartPole-Masked (POMDP)
4652,40.0,PPO-MLP / CartPole-Masked (POMDP)
4696,11.0,PPO-MLP / CartPole-Masked (POMDP)
4748,12.0,PPO-MLP / CartPole-Masked (POMDP)
4760,88.0,PPO-MLP / CartPole-Masked (POMDP)
4768,32.0,PPO-MLP / CartPole-Masked (POMDP)
4792,10.0,PPO-MLP / CartPole-Masked (POMDP)
4812,12.0,PPO-MLP / CartPole-Masked (POMDP)
4816,40.0,PPO-MLP / CartPole-Masked (POMDP)
4856,15.0,PPO-MLP / CartPole-Masked (POMDP)
4888,17.0,PPO-MLP / CartPole-Masked (POMDP)
4904,33.0,PPO-MLP / CartPole-Masked (POMDP)
4952,15.0,PPO-MLP / CartPole-Masked (POMDP)
4984,19.0,PPO-MLP / CartPole-Masked (POMDP)
5036,44.0,PPO-MLP / CartPole-Masked (POMDP)
5036,20.0,PPO-MLP / CartPole-Masked (POMDP)
5068,63.0,PPO-MLP / CartPole-Masked (POMDP)
5112,18.0,PPO-MLP / CartPole-Masked (POMDP)
5136,16.0,PPO-MLP / CartPole-Masked (POMDP)
5140,25.0,PPO-MLP / CartPole-Masked (POMDP)
5212,56.0,PPO-MLP / CartPole-Masked (POMDP)
5240,24.0,PPO-MLP / CartPole-Masked (POMDP)
5264,37.0,PPO-MLP / CartPole-Masked (POMDP)
5280,16.0,PPO-MLP / CartPole-Masked (POMDP)
5280,9.0,PPO-MLP / CartPole-Masked (POMDP)
5360,23.0,PPO-MLP / CartPole-Masked (POMDP)
5368,21.0,PPO-MLP / CartPole-Masked (POMDP)
5404,66.0,PPO-MLP / CartPole-Masked (POMDP)
