step,return,config
6252,32.0,PPO-MLP / CartPole (MDP)
6324,17.0,PPO-MLP / CartPole (MDP)
6360,30.0,PPO-MLP / CartPole (MDP)
6408,42.0,PPO-MLP / CartPole (MDP)
6472,96.0,PPO-MLP / CartPole (MDP)
6476,37.0,PPO-MLP / CartPole (MDP)
6496,33.0,PPO-MLP / CartPole (MDP)
6524,28.0,PPO-MLP / CartPole (MDP)
6672,43.0,PPO-MLP / CartPole (MDP)
6756,69.0,PPO-MLP / CartPole (MDP)
6760,71.0,PPO-MLP / CartPole (MDP)
6852,81.0,PPO-MLP / CartPole (MDP)
6888,31.0,PPO-MLP / CartPole (MDP)
6900,35.0,PPO-MLP / CartPole (MDP)
7056,95.0,PPO-MLP / CartPole (MDP)
7068,41.0,PPO-MLP / CartPole (MDP)
7080,47.0,PPO-MLP / CartPole (MDP)
7212,35.0,PPO-MLP / CartPole (MDP)
7244,97.0,PPO-MLP / CartPole (MDP)
7280,55.0,PPO-MLP / CartPole (MDP)
7320,59.0,PPO-MLP / CartPole (MDP)
7404,47.0,PPO-MLP / CartPole (MDP)
7408,31.0,PPO-MLP / CartPole (MDP)
7488,41.0,PPO-MLP / CartPole (MDP)
7652,60.0,PPO-MLP / CartPole (MDP)
7700,52.0,PPO-MLP / CartPole (MDP)
7732,121.0,PPO-MLP / CartPole (MDP)
7804,37.0,PPO-MLP / CartPole (MDP)
7808,26.0,PPO-MLP / CartPole (MDP)
7900,22.0,PPO-MLP / CartPole (MDP)
7940,51.0,PPO-MLP / CartPole (MDP)
7996,147.0,PPO-MLP / CartPole (MDP)
8052,61.0,PPO-MLP / CartPole (MDP)
8180,45.0,PPO-MLP / CartPole (MDP)
8196,73.0,PPO-MLP / CartPole (MDP)
8200,64.0,PPO-MLP / CartPole (MDP)
8336,38.0,PPO-MLP / CartPole (MDP)
8412,89.0,PPO-MLP / CartPole (MDP)
8468,32.0,PPO-MLP / CartPole (MDP)
8512,78.0,PPO-MLP / CartPole (MDP)
8608,48.0,PPO-MLP / CartPole (MDP)
8624,27.0,PPO-MLP / CartPole (MDP)
8804,150.0,PPO-MLP / CartPole (MDP)
8928,75.0,PPO-MLP / CartPole (MDP)
8960,87.0,PPO-MLP / CartPole (MDP)
9092,32.0,PPO-MLP / CartPole (MDP)
9204,99.0,PPO-MLP / CartPole (MDP)
9208,184.0,PPO-MLP / CartPole (MDP)
9596,97.0,PPO-MLP / CartPole (MDP)
9612,170.0,PPO-MLP / CartPole (MDP)
9692,149.0,PPO-MLP / CartPole (MDP)
10032,108.0,PPO-MLP / CartPole (MDP)
10164,137.0,PPO-MLP / CartPole (MDP)
10416,62.0,PPO-MLP / CartPole (MDP)
10464,313.0,PPO-MLP / CartPole (MDP)
10564,132.0,PPO-MLP / CartPole (MDP)
10748,263.0,PPO-MLP / CartPole (MDP)
11008,135.0,PPO-MLP / CartPole (MDP)
11052,121.0,PPO-MLP / CartPole (MDP)
11232,203.0,PPO-MLP / CartPole (MDP)
11412,89.0,PPO-MLP / CartPole (MDP)
11584,208.0,PPO-MLP / CartPole (MDP)
11764,87.0,PPO-MLP / CartPole (MDP)
11784,193.0,PPO-MLP / CartPole (MDP)
12140,138.0,PPO-MLP / CartPole (MDP)
12212,106.0,PPO-MLP / CartPole (MDP)
12312,269.0,PPO-MLP / CartPole (MDP)
12436,167.0,PPO-MLP / CartPole (MDP)
12828,153.0,PPO-MLP / CartPole (MDP)
12928,122.0,PPO-MLP / CartPole (MDP)
12984,210.0,PPO-MLP / CartPole (MDP)
13144,53.0,PPO-MLP / CartPole (MDP)
13672,171.0,PPO-MLP / CartPole (MDP)
13876,261.0,PPO-MLP / CartPole (MDP)
13916,400.0,PPO-MLP / CartPole (MDP)
13916,192.0,PPO-MLP / CartPole (MDP)
14240,141.0,PPO-MLP / CartPole (MDP)
14444,141.0,PPO-MLP / CartPole (MDP)
14572,163.0,PPO-MLP / CartPole (MDP)
14588,35.0,PPO-MLP / CartPole (MDP)
15080,209.0,PPO-MLP / CartPole (MDP)
15280,176.0,PPO-MLP / CartPole (MDP)
15284,173.0,PPO-MLP / CartPole (MDP)
15440,380.0,PPO-MLP / CartPole (MDP)
15524,60.0,PPO-MLP / CartPole (MDP)
15800,179.0,PPO-MLP / CartPole (MDP)
15884,149.0,PPO-MLP / CartPole (MDP)
16064,155.0,PPO-MLP / CartPole (MDP)
16280,119.0,PPO-MLP / CartPole (MDP)
16456,232.0,PPO-MLP / CartPole (MDP)
16552,166.0,PPO-MLP / CartPole (MDP)
16892,206.0,PPO-MLP / CartPole (MDP)
17032,187.0,PPO-MLP / CartPole (MDP)
17124,166.0,PPO-MLP / CartPole (MDP)
17344,197.0,PPO-MLP / CartPole (MDP)
17444,137.0,PPO-MLP / CartPole (MDP)
17884,212.0,PPO-MLP / CartPole (MDP)
18312,296.0,PPO-MLP / CartPole (MDP)
18376,232.0,PPO-MLP / CartPole (MDP)
18536,162.0,PPO-MLP / CartPole (MDP)
18584,309.0,PPO-MLP / CartPole (MDP)
19052,128.0,PPO-MLP / CartPole (MDP)
19056,117.0,PPO-MLP / CartPole (MDP)
19064,171.0,PPO-MLP / CartPole (MDP)
19816,375.0,PPO-MLP / CartPole (MDP)
19956,222.0,PPO-MLP / CartPole (MDP)
20484,356.0,PPO-MLP / CartPole (MDP)
20620,200.0,PPO-MLP / CartPole (MDP)
20664,176.0,PPO-MLP / CartPole (MDP)
20808,438.0,PPO-MLP / CartPole (MDP)
21320,127.0,PPO-MLP / CartPole (MDP)
21384,190.0,PPO-MLP / CartPole (MDP)
21432,191.0,PPO-MLP / CartPole (MDP)
21848,340.0,PPO-MLP / CartPole (MDP)
21856,105.0,PPO-MLP / CartPole (MDP)
21932,136.0,PPO-MLP / CartPole (MDP)
22256,233.0,PPO-MLP / CartPole (MDP)
22384,133.0,PPO-MLP / CartPole (MDP)
22488,157.0,PPO-MLP / CartPole (MDP)
22524,147.0,PPO-MLP / CartPole (MDP)
23076,137.0,PPO-MLP / CartPole (MDP)
23100,152.0,PPO-MLP / CartPole (MDP)
23408,287.0,PPO-MLP / CartPole (MDP)
23676,143.0,PPO-MLP / CartPole (MDP)
23904,379.0,PPO-MLP / CartPole (MDP)
24172,190.0,PPO-MLP / CartPole (MDP)
24392,178.0,PPO-MLP / CartPole (MDP)
24692,196.0,PPO-MLP / CartPole (MDP)
25080,500.0,PPO-MLP / CartPole (MDP)
25096,175.0,PPO-MLP / CartPole (MDP)
