step,return,config
3888,65.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3896,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3948,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3948,20.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3956,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4004,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4012,39.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4012,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4040,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4080,9.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4120,26.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4128,28.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4152,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4160,38.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4184,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4224,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4232,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4268,26.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4336,37.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4380,38.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4404,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4432,49.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4444,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4468,49.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4484,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4516,20.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4552,26.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4572,25.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4580,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4616,32.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4736,29.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4740,46.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4760,44.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4772,49.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4824,20.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4848,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4864,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4880,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4904,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4940,50.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4972,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
4976,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5000,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5060,20.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5076,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5080,43.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5120,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5144,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
