step,return,config
3640,36.0,PPO-LSTM / CartPole-Masked (POMDP)
3640,17.0,PPO-LSTM / CartPole-Masked (POMDP)
3648,12.0,PPO-LSTM / CartPole-Masked (POMDP)
3728,10.0,PPO-LSTM / CartPole-Masked (POMDP)
3736,13.0,PPO-LSTM / CartPole-Masked (POMDP)
3760,18.0,PPO-LSTM / CartPole-Masked (POMDP)
3776,22.0,PPO-LSTM / CartPole-Masked (POMDP)
3784,22.0,PPO-LSTM / CartPole-Masked (POMDP)
3792,18.0,PPO-LSTM / CartPole-Masked (POMDP)
3832,61.0,PPO-LSTM / CartPole-Masked (POMDP)
3872,17.0,PPO-LSTM / CartPole-Masked (POMDP)
3872,27.0,PPO-LSTM / CartPole-Masked (POMDP)
3872,10.0,PPO-LSTM / CartPole-Masked (POMDP)
3896,16.0,PPO-LSTM / CartPole-Masked (POMDP)
3904,20.0,PPO-LSTM / CartPole-Masked (POMDP)
3920,15.0,PPO-LSTM / CartPole-Masked (POMDP)
3968,11.0,PPO-LSTM / CartPole-Masked (POMDP)
3976,17.0,PPO-LSTM / CartPole-Masked (POMDP)
4016,29.0,PPO-LSTM / CartPole-Masked (POMDP)
4024,12.0,PPO-LSTM / CartPole-Masked (POMDP)
4032,19.0,PPO-LSTM / CartPole-Masked (POMDP)
4072,24.0,PPO-LSTM / CartPole-Masked (POMDP)
4072,21.0,PPO-LSTM / CartPole-Masked (POMDP)
4128,19.0,PPO-LSTM / CartPole-Masked (POMDP)
4144,20.0,PPO-LSTM / CartPole-Masked (POMDP)
4168,11.0,PPO-LSTM / CartPole-Masked (POMDP)
4232,25.0,PPO-LSTM / CartPole-Masked (POMDP)
4240,13.0,PPO-LSTM / CartPole-Masked (POMDP)
4248,12.0,PPO-LSTM / CartPole-Masked (POMDP)
4264,11.0,PPO-LSTM / CartPole-Masked (POMDP)
4264,23.0,PPO-LSTM / CartPole-Masked (POMDP)
4336,11.0,PPO-LSTM / CartPole-Masked (POMDP)
4352,55.0,PPO-LSTM / CartPole-Masked (POMDP)
4360,40.0,PPO-LSTM / CartPole-Masked (POMDP)
4376,13.0,PPO-LSTM / CartPole-Masked (POMDP)
4408,17.0,PPO-LSTM / CartPole-Masked (POMDP)
4448,24.0,PPO-LSTM / CartPole-Masked (POMDP)
4464,13.0,PPO-LSTM / CartPole-Masked (POMDP)
4496,59.0,PPO-LSTM / CartPole-Masked (POMDP)
4496,14.0,PPO-LSTM / CartPole-Masked (POMDP)
4576,20.0,PPO-LSTM / CartPole-Masked (POMDP)
4592,28.0,PPO-LSTM / CartPole-Masked (POMDP)
4600,16.0,PPO-LSTM / CartPole-Masked (POMDP)
