step,return,k,config,seed
7484,38.0,1,framestack_k1,1
7488,14.0,1,framestack_k1,1
7488,43.0,1,framestack_k1,1
7492,13.0,1,framestack_k1,1
7532,11.0,1,framestack_k1,1
7564,18.0,1,framestack_k1,1
7604,9.0,1,framestack_k1,1
7672,16.0,1,framestack_k1,1
7688,49.0,1,framestack_k1,1
7716,45.0,1,framestack_k1,1
7716,55.0,1,framestack_k1,1
7784,16.0,1,framestack_k1,1
7812,34.0,1,framestack_k1,1
7820,25.0,1,framestack_k1,1
7824,33.0,1,framestack_k1,1
7892,26.0,1,framestack_k1,1
7900,19.0,1,framestack_k1,1
7916,22.0,1,framestack_k1,1
7920,26.0,1,framestack_k1,1
7964,11.0,1,framestack_k1,1
7996,18.0,1,framestack_k1,1
8000,24.0,1,framestack_k1,1
8004,27.0,1,framestack_k1,1
8040,18.0,1,framestack_k1,1
8072,17.0,1,framestack_k1,1
8076,17.0,1,framestack_k1,1
8100,25.0,1,framestack_k1,1
8112,9.0,1,framestack_k1,1
8128,12.0,1,framestack_k1,1
8188,18.0,1,framestack_k1,1
8208,19.0,1,framestack_k1,1
8224,45.0,1,framestack_k1,1
8268,14.0,1,framestack_k1,1
8280,44.0,1,framestack_k1,1
8304,19.0,1,framestack_k1,1
8332,35.0,1,framestack_k1,1
8356,21.0,1,framestack_k1,1
8360,19.0,1,framestack_k1,1
8432,17.0,1,framestack_k1,1
8476,29.0,1,framestack_k1,1
8504,49.0,1,framestack_k1,1
8524,22.0,1,framestack_k1,1
8556,55.0,1,framestack_k1,1
8556,12.0,1,framestack_k1,1
8684,39.0,1,framestack_k1,1
8736,64.0,1,framestack_k1,1
8760,50.0,1,framestack_k1,1
8820,14.0,1,framestack_k1,1
8852,41.0,1,framestack_k1,1
8872,33.0,1,framestack_k1,1
8912,22.0,1,framestack_k1,1
8936,20.0,1,framestack_k1,1
8960,21.0,1,framestack_k1,1
8980,105.0,1,framestack_k1,1
9032,23.0,1,framestack_k1,1
9036,30.0,1,framestack_k1,1
9036,13.0,1,framestack_k1,1
9084,12.0,1,framestack_k1,1
9104,16.0,1,framestack_k1,1
9108,17.0,1,framestack_k1,1
9180,17.0,1,framestack_k1,1
9192,21.0,1,framestack_k1,1
9200,59.0,1,framestack_k1,1
9220,33.0,1,framestack_k1,1
9256,15.0,1,framestack_k1,1
9268,11.0,1,framestack_k1,1
9316,28.0,1,framestack_k1,1
9324,13.0,1,framestack_k1,1
9332,37.0,1,framestack_k1,1
9372,28.0,1,framestack_k1,1
9412,23.0,1,framestack_k1,1
9428,25.0,1,framestack_k1,1
9488,38.0,1,framestack_k1,1
9492,19.0,1,framestack_k1,1
9496,30.0,1,framestack_k1,1
9592,40.0,1,framestack_k1,1
9596,25.0,1,framestack_k1,1
9656,14.0,1,framestack_k1,1
9672,19.0,1,framestack_k1,1
9720,55.0,1,framestack_k1,1
9744,17.0,1,framestack_k1,1
9752,23.0,1,framestack_k1,1
9796,10.0,1,framestack_k1,1
9816,23.0,1,framestack_k1,1
9852,90.0,1,framestack_k1,1
9868,30.0,1,framestack_k1,1
9952,24.0,1,framestack_k1,1
10012,53.0,1,framestack_k1,1
10020,37.0,1,framestack_k1,1
10056,25.0,1,framestack_k1,1
10108,72.0,1,framestack_k1,1
10140,29.0,1,framestack_k1,1
10140,20.0,1,framestack_k1,1
10192,44.0,1,framestack_k1,1
10196,21.0,1,framestack_k1,1
10304,27.0,1,framestack_k1,1
10316,43.0,1,framestack_k1,1
10332,33.0,1,framestack_k1,1
10336,48.0,1,framestack_k1,1
10392,13.0,1,framestack_k1,1
10400,16.0,1,framestack_k1,1
10424,26.0,1,framestack_k1,1
10468,10.0,1,framestack_k1,1
10512,27.0,1,framestack_k1,1
10516,52.0,1,framestack_k1,1
10520,12.0,1,framestack_k1,1
10532,34.0,1,framestack_k1,1
10580,16.0,1,framestack_k1,1
10604,20.0,1,framestack_k1,1
10604,21.0,1,framestack_k1,1
10608,18.0,1,framestack_k1,1
10648,10.0,1,framestack_k1,1
10672,15.0,1,framestack_k1,1
